,or2063,or4337,or2051,or917,or4419,or4318,or2054,or1483,or634,or4407,or4317,or4315,or3747,or2073,or3181,or2204,or4432,or4436,or3464,or2143,or2172,or2168
f955,-1,-0.69813882,-1,-1,-0.762333021,-0.709862891,-1,-1,-1,-0.464266161,-0.867742513,-0.82390337,0.807480739,-1,0.443607711,-0.983218354,-0.313820548,-0.774575056,0.656926403,-1,-1,-1
f956,-1,-0.707661042,-1,-1,-0.8032204,-0.664619344,-1,-1,-1,-0.563406889,-0.854919955,-0.816918858,0.854060734,-1,0.525315102,-1,-0.525745997,-0.795783516,0.788148506,-1,-1,-1
f957,-1,-0.87965469,-1,-1,-0.694506811,-0.835660131,-0.988325803,-1,-0.99700412,-0.201381448,-0.848964644,-0.850153914,0.10351224,-1,0.197654679,-0.978650016,-0.536522692,-0.952447363,0.201193942,-1,-0.941604338,-1
f958,-0.027669243,-0.919778886,-0.694215523,-0.663981436,-0.96979911,-0.925441553,-0.314787184,-0.722525641,-0.712631421,-0.961170284,-0.952945935,-0.955912094,-0.467439666,-0.672182328,-0.190103816,-0.355036732,-0.535391668,-0.905352568,-0.305244708,-0.69988255,-0.403056855,-0.140591307
f959,-0.984224055,-0.252189142,-1,-0.967416979,-0.776357268,-0.643432574,-1,-0.985287864,-0.969608475,-0.599824869,-0.631348511,-0.642206655,0.130122592,-0.940574962,0.00262697,-0.969209615,0.829422067,-0.278458844,-0.00647986,-0.990515051,-0.943417762,-1
f960,-0.281035545,-0.620213368,-0.707354839,-0.644559709,-0.931753805,-0.88153941,-0.286612678,-0.712274939,-0.689351807,-0.777141691,-0.921814871,-0.888630194,0.582828945,-0.563078889,0.059965392,-0.372528616,-0.357309195,-0.841098981,0.187777722,-0.746981439,-0.425820822,-0.407630866
f961,-1,-0.655734989,-1,-1,-0.509376747,-0.463938691,-0.988966803,-1,-1,-0.018840095,-0.737473615,-0.770285987,0.493012833,-1,0.266348363,-0.762096778,0.205431514,-0.534910027,0.381483816,-1,-0.947438757,-1
f962,-0.25042829,-0.462177584,-0.687172414,-0.674325646,-0.507943323,-0.119015773,-0.242636746,-0.715499443,-0.709436819,0.442569434,-0.56594398,-0.499867739,0.422145751,-0.637418914,0.198105727,-0.47942158,0.378982939,0.009301131,0.298608205,-0.754498169,-0.518930956,-0.366777822
f963,-0.967071268,-0.440125317,-1,-0.905812933,-0.410550263,-0.222162687,-1,-0.959972212,-0.927971979,0.400360164,-0.617084511,-0.554219268,0.820685381,-0.818715364,0.637704019,-0.934856209,0.464590639,0.013535741,0.751051478,-0.956677556,-0.812896586,-1
f964,-0.184247317,-0.582068314,-0.739512195,-0.691150236,-0.481226054,-0.57152573,-0.299763966,-0.731086229,-0.561468347,-0.286720915,-0.576666039,-0.575799694,-0.083472154,-0.605972797,-0.138082045,-0.015293082,-0.225748574,-0.523247053,-0.083472154,-0.745333153,-0.419848985,-0.953863301
